venueName,venueType,year,authorCount
ACM Asia Conference on Computer and Communications Security,http://example.org/research/Conference,2019,6
Alberto Mendelzon Workshop on Foundations of Data Management,http://example.org/research/Workshop,2018,1
Annual Conference on Innovation and Technology in Computer Science Education,http://example.org/research/Conference,2021,4
Chinese Control and Decision Conference,http://example.org/research/Conference,2020,10
EDBT/ICDT Workshops,http://example.org/research/Workshop,2016,2
IEEE International Conference on Fuzzy Systems,http://example.org/research/Conference,2015,3
"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum",http://example.org/research/Workshop,2019,7
International Conference on Advanced Cloud and Big Data,http://example.org/research/Conference,2017,9
International Conference on Automated Software Engineering,http://example.org/research/Conference,2014,2
International Conference on Blockchain,http://example.org/research/Conference,2020,6
International Conference on Computational Collective Intelligence,http://example.org/research/Conference,2020,4
International Conference on Data Technologies and Applications,http://example.org/research/Conference,2017,6
International Conference on Extending Database Technology,http://example.org/research/Conference,2018,5
International Conference on Information and Software Technologies,http://example.org/research/Conference,2018,2
International Conference on Network and System Security,http://example.org/research/Conference,2019,3
International Conference on Science in Information Technology,http://example.org/research/Conference,2017,2
International Database Engineering and Applications Symposium,http://example.org/research/Conference,2016,1
International Symposium on Software Testing and Analysis,http://example.org/research/Conference,2022,9
International Symposium on Software Testing and Analysis,http://example.org/research/Conference,2023,11
International Workshop on Graph Data Management Experiences and Systems,http://example.org/research/Workshop,2013,10
"Knowledge Science, Engineering and Management",http://example.org/research/Conference,2020,4
Rice,http://example.org/research/Conference,2018,3
Symposium on Information and Communication Technology,http://example.org/research/Conference,2022,4
Web Information System and Application Conference,http://example.org/research/Conference,2017,4
Workshop on Graph Based Representations in Pattern Recognition,http://example.org/research/Workshop,2015,3
